band,species,wavelength_A,lower_ep_eV,elgueta_loggf,gd_depth,gd_saturation,gd_purity,gd_gof,gd_robust,elgueta_status,failure_reasons,canonical_match,canonical_line_id,canonical_grade,canonical_gf_source,gf_sigma_dex,gradeable_currently,in_current_main_rya904,in_recent_rya1054_commit,implementation_artifact,conditioned_spectrum_reaches,coverage_note,gap_class,recommended_next_action
Y,FeI,9800.308,5.086,-0.453,,,,,,unassessed,,True,gf_167310,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9800.798,5.099,-1.197,,,,,,unassessed,,True,gf_167311,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9801.206,5.72,-1.871,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9811.504,5.012,-1.362,,,,,,unassessed,,True,gf_167312,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9820.241,2.424,-5.073,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9834.185,4.991,-1.214,,,,,,unassessed,,True,gf_167316,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9839.341,4.584,-2.62,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9847.457,4.58,-2.305,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9850.097,5.32,-1.712,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9851.782,5.828,-1.565,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9855.487,5.446,-1.716,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9861.734,5.064,-0.142,,,,,,unassessed,,True,gf_167319,VALD3,VALD3,,True,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,GRADEABLE_NOT_IMPLEMENTED,measurement_required
Y,FeI,9868.089,4.584,-2.937,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9868.186,5.086,-0.979,,,,,,unassessed,,True,gf_167320,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9881.522,4.584,-1.711,,,,,,unassessed,,True,gf_167322,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9886.081,5.012,-1.953,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9889.035,5.033,-0.446,,,,,,unassessed,,True,gf_167324,VALD3,VALD3,,True,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,GRADEABLE_NOT_IMPLEMENTED,measurement_required
Y,FeI,9898.006,4.786,-1.715,,,,,,unassessed,,True,gf_167327,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9913.18,4.991,-1.266,,,,,,unassessed,,True,gf_167329,LAB,PRIMARY LAB DenHartog2014,0.05,True,False,True,622c954:data/products/solar/Fe.json,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_PRODUCTION,preserve_existing
Y,FeI,9923.947,5.478,-1.772,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9924.388,3.546,-3.127,,,,,,unassessed,,True,gf_167330,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9937.09,4.593,-2.442,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9944.207,5.012,-1.338,,,,,,unassessed,,True,gf_167334,LAB,PRIMARY LAB DenHartog2014,0.03,True,False,True,622c954:data/products/solar/Fe.json,True,Y wide derivative exists only on RYA-1054 commit 622c954,IMPLEMENTED_PRODUCTION,preserve_existing
Y,FeI,9951.157,5.393,-1.267,,,,,,unassessed,,True,gf_167336,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9953.47,5.446,-1.309,,,,,,unassessed,,True,gf_167337,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeII,9956.323,5.484,-2.985,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9959.228,5.506,-2.108,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9967.301,5.086,-2.079,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9970.233,3.017,-4.818,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9977.641,5.064,-1.66,,,,,,unassessed,,True,gf_167339,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9980.463,5.033,-1.379,,,,,,unassessed,,True,gf_167340,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9987.868,2.176,-5.452,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9996.061,5.012,-2.155,,,,,,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeII,9997.598,5.484,-1.867,,,,,,unassessed,,True,gf_167343,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
